,originalSkill,esco_label,esco_prob,esco_uri
0,Central Tendency,statistics,0.40822768211364746,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
1,Receiving,receive goods,0.6055814027786255,http://data.europa.eu/esco/skill/2cae39d6-78c2-4ce3-bee8-628504371463
2,Data Warehousing,implement data warehousing techniques,0.9246567487716675,http://data.europa.eu/esco/skill/fd6d2981-3d4a-4ce2-9741-cfc98c5b74bd
3,Green Asset Analysis,green logistics,0.5529696941375732,http://data.europa.eu/esco/skill/97902800-f9e0-4a73-8826-6cc42f874a18
4,Path (Variable),design well paths,0.4619302749633789,http://data.europa.eu/esco/skill/119535c6-ff74-4e64-91c2-bcf338749fd6
5,ESG investing strategy,make investment decisions,0.48418086767196655,http://data.europa.eu/esco/skill/0c9da986-721e-4f75-b566-0c6c212a8f60
6,Social Media,social media management,0.6920199394226074,http://data.europa.eu/esco/skill/5303169c-75d6-4751-9136-a4b88343388c
7,Engenharia de Dados,Portuguese,0.4671529531478882,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7
8,Teaching Revision,suggest revision of manuscripts,0.5993952751159668,http://data.europa.eu/esco/skill/2be39143-3cf8-4b02-af8f-99e3dfb2fc24
9,Questioning,use questioning techniques,0.8481303453445435,http://data.europa.eu/esco/skill/0f2eee6f-2203-4cc8-9d79-854d2d5d8131
10,WGANs,types of whisks,0.4036099910736084,http://data.europa.eu/esco/skill/dbeb3539-73c7-4be5-ada5-1d6e9657b356
11,PsicologÃ\xada del aprendizaje,Bosnian,0.4071439504623413,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2
12,SoluciÃ³n de problemas,solve problems,0.5326413512229919,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869
13,Compliance,ensure compliance with policies,0.7977395057678223,http://data.europa.eu/esco/skill/bda0d115-f315-453e-99dc-f8b0e5862db3
14,Digital Transformation in Fashion,trends in fashion,0.6279950737953186,http://data.europa.eu/esco/skill/1b10c3de-1284-4c89-a9f9-762ad51a6ad7
15,experience,manage the customer experience,0.5796178579330444,http://data.europa.eu/esco/skill/4b95c7bb-5672-4e4a-88ea-ba96c12e8ca2
16,Use Azure Synapse Analytics to build your analytical solutions in one place,communicate analytical insights,0.478277325630188,http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632
17,Composto de marketing,digital marketing techniques,0.5054348707199097,http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf
18,AnÃ¡lise da PrevisÃ£o de Fluxo de Caixa,write Spanish,0.39198988676071167,http://data.europa.eu/esco/skill/cec6cd92-d709-42cc-9a6e-6a7dd48b9e08
19,Requirements Analysis,analyse business requirements,0.7575284838676453,http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17
20,Writing,writing techniques,0.808654248714447,http://data.europa.eu/esco/skill/91dd8397-063d-499c-83b9-0603a10d94ac
21,Hoja de cÃ¡lculo,understand written Spanish,0.5147824287414551,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89
22,sÃ©curitÃ© sans fil,Estonian,0.3248663544654846,http://data.europa.eu/esco/skill/1b7e6f56-bc73-4bcc-81ae-09252175d418
23,Corporate Sustainability,measure company's sustainability performance,0.7550572156906128,http://data.europa.eu/esco/skill/d53eab76-e8ff-4e28-af26-7e012951c763
